"Google  Site Verification Code", "Google  Site Verification Code"
"Bing Verification Code", "Bing Verification Code"
"Enable Custom H1 Page", "Enable Custom H1 Page"
"This new heading 1 will replace the original h1 of category\, CMS page & product page", "This new heading 1 will replace the original h1 of category\, CMS page & product page"
"SEO Core", "SEO Core"
"Bss Commerce SEO", "Bss Commerce SEO"
